UniprotID	Q9H2Y9-3
Accession	Q9H2Y9;A4QPC2;B2RPF7;B3KMU7;E9PKK5;G3V1C0
EntryName	SO5A1_HUMAN
ProteinName	Solute carrier organic anion transporter family member 5A1 (Organic anion transporter polypeptide-related protein 4) (OATP-RP4) (OATPRP4) (Solute carrier family 21 member 15)
GeneName	SLCO5A1 OATP5A1 SLC21A15
Length	687
Function	
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.058640536
pNuLoCRegion	
