UniprotID	Q9Y5H0-2
Accession	Q9Y5H0;Q9Y5D4
EntryName	PCDG3_HUMAN
ProteinName	Protocadherin gamma-A3 (PCDH-gamma-A3)
GeneName	PCDHGA3
Length	829
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.04048456
pNuLoCRegion	
