UniprotID	Q7Z404-1
Accession	Q7Z404;Q7Z5M3;Q8N5E4;Q8TBS7
EntryName	TMC4_HUMAN
ProteinName	Voltage-gated chloride channel TMC4 (Transmembrane channel-like protein 4)
GeneName	TMC4
Length	706
Function	Voltage-gated chloride channel involved in high-concentration salt taste sensation (PubMed:34429071, PubMed:34468713). Depolarization induced by high NaCl concentration may trigger the activation of TMC4-mediated chloride influx into taste bud cells, helping the return to resting potential (PubMed:34429071). Also allows permeation of organic anions including gluconate, but their current amplitudes at positive potentials are less than that of chloride (PubMed:34429071). Involved in pH and temperature-dependent modulation of salty taste (PubMed:34468713).
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.038349994
pNuLoCRegion	24...39;58...70;99...111
