UniprotID	Q5VV67-2
Accession	Q5VV67;Q5VV66;Q6P3U5;Q6P3W1;Q76N31;Q9BUJ3;Q9BZE5;Q9Y4E0
EntryName	PPRC1_HUMAN
ProteinName	Peroxisome proliferator-activated receptor gamma coactivator-related protein 1 (PGC-1-related coactivator) (PRC)
GeneName	PPRC1 KIAA0595
Length	1542
Function	Acts as a coactivator during transcriptional activation of nuclear genes related to mitochondrial biogenesis and cell growth. Involved in the transcription coactivation of CREB and NRF1 target genes.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5719326
pNuLoCRegion	1342...1353
