UniprotID	Q86TI4-4
Accession	Q86TI4;B4DJF1;C9JAJ5;C9JXE3;Q3KNT1;Q6ZUS8
EntryName	WDR86_HUMAN
ProteinName	WD repeat-containing protein 86
GeneName	WDR86
Length	482
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8458748
pNuLoCRegion	57...69;413...419;445...450
pNuLoCScore	0.3001958433333333,0.295529801,0.2899348063636364,0.2843795808333333,0.28296908,0.28281195428571426,0.2828578013333333,0.283004741875,0.2838463411764706,0.27451181764705884,0.2807496676470589,0.28315577058823527,0.2819224058823529,0.27573772470588237,0.2705931505882353,0.26780542588235295,0.2669135747058823,0.26817160176470584,0.2704635511764706,0.27423584294117653,0.27841283941176476,0.27969935647058825,0.2797319529411764,0.2799676770588235,0.2725746405882353,0.26897183,0.27115342705882345,0.2786066211764706,0.2883868805882353,0.2981321276470588,0.307284824117647,0.3165580335294117,0.32473219941176473,0.33055120941176463,0.3360902976470588,0.3405634529411764,0.34286877529411763,0.345857614117647,0.34879369999999993,0.35306407117647054,0.3557974417647059,0.36158694705882355,0.36125200882352937,0.35484791529411763,0.3421494229411765,0.3340248629411765,0.32417433000000007,0.3148370170588236,0.3086088494117648,0.30456282588235295,0.3001695611764706,0.29574100647058826,0.29257360470588234,0.2909570352941177,0.2866424188235294,0.28565947529411767,0.2923497935294118,0.30093551647058825,0.31580498882352936,0.33380763,0.35257036176470585,0.37173725,0.38597427588235295,0.40162524235294117,0.4157045823529412,0.4274587794117647,0.43772225,0.4503470441176471,0.46083255647058824,0.46976949647058824,0.47613838588235297,0.4866228494117648,0.4933165476470589,0.4862650270588236,0.48353324823529414,0.47927646529411766,0.47324614764705886,0.4672496405882353,0.46025458352941173,0.45458094823529416,0.4476029429411765,0.4415773264705882,0.4369162676470588,0.4328569341176469,0.42781670647058817,0.4242326035294117,0.421726684117647,0.4224545358823529,0.42430959588235284,0.42758132647058816,0.43348127176470586,0.43388339647058816,0.43283635294117645,0.43181622117647056,0.4303341635294118,0.4293137617647059,0.42723313,0.426236995882353,0.4260601205882353,0.4239097382352941,0.4222279823529412,0.42145853529411764,0.4203062547058824,0.4193618888235294,0.41833349117647056,0.41455169235294115,0.40983945882352946,0.40819033823529416,0.4070837617647059,0.4073479752941176,0.40791987294117643,0.40902249764705884,0.4110021764705883,0.4125285182352942,0.4146686741176471,0.4165845747058824,0.4191173823529412,0.4208588270588236,0.4226637594117648,0.4248412382352942,0.4305484852941177,0.4369986464705883,0.44276375294117654,0.44962558823529414,0.45553447,0.4611168205882353,0.4664231329411765,0.4718643023529412,0.47714593647058834,0.4823278970588236,0.48693055529411766,0.489888821764706,0.4929081576470588,0.4952174382352941,0.4967317170588236,0.4969924711764705,0.49651281823529414,0.4922963570588235,0.48487558882352944,0.479029475882353,0.4675132952941177,0.4607867729411765,0.45391646411764713,0.44688674117647065,0.43997855764705884,0.4328985047058824,0.42608125882352943,0.4188865964705883,0.4131385347058824,0.40800264882352943,0.4033038935294118,0.39948111117647067,0.3944940170588236,0.38931944647058825,0.3821345170588235,0.3775131147058824,0.37213146,0.37137638294117653,0.3664074517647059,0.36182497705882355,0.3576963423529411,0.3537335494117647,0.3502483652941176,0.34702731823529415,0.3453648811764706,0.34377424411764707,0.34133148882352937,0.33855951176470583,0.3357524305882352,0.33554198235294114,0.3370154729411765,0.34025981647058823,0.34270334588235296,0.3447891811764706,0.34713984117647056,0.34888609470588233,0.3485279352941177,0.34780381999999993,0.3479211788235293,0.3478284029411765,0.34716727235294126,0.3462935576470588,0.3453408435294117,0.34453565529411767,0.34404823470588236,0.34289372470588236,0.34132267411764705,0.3384468482352942,0.33534662882352945,0.33129758882352944,0.3266815547058824,0.3223056111764706,0.3182193058823529,0.31706396470588233,0.31637169411764704,0.3146910764705882,0.3130741811764705,0.31179000882352936,0.3105612629411765,0.3093264564705882,0.30790284705882354,0.3062990470588235,0.30528608529411766,0.3045832605882353,0.30426558176470586,0.30452603294117647,0.30622222,0.3085294176470588,0.3103964805882353,0.31249815058823527,0.31380979352941174,0.31406141529411763,0.31452944470588234,0.31478987823529414,0.31471382470588244,0.3146343329411765,0.3108033964705883,0.310544614117647,0.31163013588235294,0.31300874764705877,0.3142261947058823,0.31540439294117645,0.316274754117647,0.3170914352941176,0.3181810247058823,0.3197123223529411,0.32113456823529407,0.32262869294117646,0.3250042623529412,0.3268100311764706,0.32849260176470585,0.3298110570588235,0.3307387664705882,0.33560596294117645,0.3370591429411765,0.33740839470588235,0.3376854017647059,0.3379459205882353,0.33825015823529414,0.33871729882352936,0.3391572811764706,0.33934514,0.3394205323529411,0.3392322047058823,0.3390057270588235,0.3387696417647058,0.33867249058823523,0.33894361470588236,0.3500900911764706,0.35996299764705886,0.3682937582352941,0.3751460723529412,0.3805849647058824,0.38448984529411767,0.3870528782352941,0.38767205470588234,0.38520855294117645,0.3852810447058823,0.3867077535294117,0.3885616476470588,0.39082505352941177,0.39326191999999993,0.39568629999999994,0.3970311952941175,0.39930694588235294,0.3913089682352941,0.3851369035294118,0.38053844705882356,0.377692595882353,0.37614429823529416,0.3763836252941177,0.3779813970588235,0.3814735576470588,0.3879818847058823,0.39166017294117644,0.39420582294117645,0.3964050711764706,0.3985119652941177,0.40045101058823535,0.40229998352941176,0.40185442176470587,0.4012275411764706,0.40228360235294114,0.4036796082352941,0.40488982647058824,0.4059533347058823,0.40746680176470584,0.4089925352941176,0.4105755864705883,0.4123942570588235,0.41426233,0.41662893764705883,0.41867702117647065,0.4207046611764706,0.42276672764705886,0.4248015947058824,0.4268594523529412,0.4321567082352942,0.4366145594117648,0.43930935058823534,0.4413279076470588,0.44325642470588233,0.4449752176470588,0.44612821764705884,0.44707789411764703,0.4478501158823529,0.4483798247058822,0.44886538705882345,0.44907404352941166,0.4493003976470587,0.4494610352941176,0.44956798176470575,0.4497505452941177,0.44979843764705885,0.4494339270588235,0.44903163882352937,0.44856308764705877,0.44734844529411766,0.44638639823529414,0.4458318964705882,0.4453593870588235,0.44521813411764694,0.4452544352941176,0.4454440205882353,0.44577404411764704,0.4460886641176471,0.44648910764705885,0.4470080505882353,0.4474573152941177,0.4479042611764707,0.4485347623529413,0.4497152482352943,0.4510567835294118,0.4526189764705883,0.45518935588235304,0.45763864529411763,0.45984097529411766,0.46203939294117646,0.4639172988235294,0.4656753011764706,0.4672975411764706,0.46875616882352944,0.47034253235294116,0.47183498882352937,0.47133014058823525,0.4710639111764706,0.4712635300000001,0.47137142352941175,0.47146367176470594,0.4716996817647059,0.4718808594117648,0.47211180647058826,0.4722059088235294,0.4723038011764706,0.4724414264705882,0.4725354570588236,0.47261819529411764,0.47269798470588237,0.47282858882352946,0.4728916329411765,0.4728866764705882,0.47482178882352943,0.4765686888235294,0.47770110882352934,0.47889866411764703,0.48007202764705875,0.48094083411764704,0.4817208341176471,0.4822509076470589,0.48285800352941166,0.48344039999999994,0.4839895570588235,0.48448393058823525,0.4848650547058823,0.48520735058823533,0.48560539764705873,0.4906710123529412,0.4971101488235294,0.5021398605882353,0.5065177800000001,0.5103599529411765,0.5136853905882353,0.5164254123529411,0.5188453623529413,0.5209785094117647,0.5230769658823529,0.5251529447058824,0.527176277647059,0.529065595882353,0.53090858,0.5324283688235294,0.5338766158823529,0.5352659052941177,0.5319918082352941,0.5275008882352941,0.5240559788235294,0.5212808788235295,0.519062934117647,0.5175949176470588,0.5170048664705883,0.5171141252941176,0.5173573017647058,0.5177978276470588,0.5182528388235293,0.5188275035294116,0.5198053005882353,0.5210085300000001,0.5227809829411765,0.5296295576470588,0.5363854564705881,0.5444197799999999,0.5528584023529411,0.5614958552941177,0.5699033494117647,0.5782932352941177,0.5864732670588235,0.5943457847058824,0.6018366300000001,0.6093564300000002,0.6162997888235294,0.6232155852941176,0.6300311523529412,0.636592978235294,0.6431052052941176,0.6495534917647058,0.65103846,0.6525250664705883,0.6527265194117646,0.6524715464705882,0.6523280052941176,0.652399501764706,0.6525107282352942,0.6525075576470588,0.652375051764706,0.65222084,0.6521275376470588,0.6525107788235294,0.6530103611764706,0.6539908264705883,0.655518745882353,0.6666893188235294,0.677206451764706,0.6865666129411766,0.6956109482352941,0.7004253388235294,0.7058247211764707,0.7115525270588235,0.7179757364705884,0.7241092476470591,0.7304786788235295,0.7376205235294119,0.7449434664705883,0.7529165064705882,0.7610393829411765,0.7693006535294117,0.7773464352941176,0.7850492276470586,0.7832361511764704,0.7820477041176469,0.7821560864705881,0.7826738894117646,0.7874347088235293,0.7917050676470587,0.7955604000000001,0.7988063352941177,0.8023269288235295,0.8055619682352941,0.8079831088235294,0.81019406,0.8115724576470589,0.8129234400000003,0.8142014458823531,0.8166539805882355,0.8189767076470591,0.8195168956250002,0.8200328353333334,0.8204113307142858,0.8208084176923077,0.8212925466666666,0.8216643781818181,0.822173061,0.8225990455555555
pNuLoCDScore	-0.016349502156862705,-0.02568402568627448,-0.019446175686274436,-0.017040072745098056,-0.018273437450980423,-0.024458118627450953,-0.029602692745098025,-0.03239041745098037,-0.03328226862745104,-0.027358199235294145,-0.019471255187165804,-0.010143737892156779,-0.0045562405882352275,-0.003112597815126017,-0.0031258483921569047,-0.0030370648161764935,-0.011271700588235345,-0.005539987647058819,-0.009596240588235438,-0.0045491494117646525,0.006464474705882406,0.02239440294117645,0.03669167352941172,0.04875260764705874,0.05781862470588245,0.0623796076470588,0.0656267464705882,0.06632760999999987,0.06445593588235288,0.06615825764705874,0.06906174705882351,0.07309639411764701,0.08322280117647063,0.09261511705882353,0.09009858176470592,0.07624129411764702,0.0537625423529412,0.035892735294117684,0.01688950588235305,-0.0017210164705880882,-0.016123349999999925,-0.025988383529411685,-0.03592073647058819,-0.04482244647058814,-0.050295170588235294,-0.05490057882352928,-0.06215128117647051,-0.06740459588235287,-0.06344764823529409,-0.0606514305882353,-0.045447020000000005,-0.02104028529411761,0.010420938823529347,0.037712387058823515,0.06179994588235288,0.08678822529411756,0.10709573294117641,0.12289595352941174,0.1375526888235294,0.15460603764705882,0.1682589517647059,0.17881246117647054,0.18949596705882354,0.20096337411764714,0.20096675411764708,0.18532951058823532,0.16772825941176478,0.14546883529411764,0.120675785882353,0.0955123905882353,0.07428030764705879,0.05295570588235299,0.03189836058823525,0.014118547058823538,-0.0008059823529411592,-0.01749011000000017,-0.03301585000000007,-0.04553689294117652,-0.054411701764705944,-0.06416831352941194,-0.06900695176470606,-0.05868370058823541,-0.05005197647058829,-0.0453930688235295,-0.04040979470588241,-0.035433419411764755,-0.029920419999999948,-0.025267186470588232,-0.020369812941176457,-0.015340330588235251,-0.01085614705882354,-0.00894719588235282,-0.005588724117646993,-0.0027740682352940804,-0.0014204294117646232,-0.00309264705882345,-0.005976104705882279,-0.013029634117647015,-0.0236418129411764,-0.025693058235293997,-0.025752591176470552,-0.024468245882352968,-0.022414290588235353,-0.02029126411764709,-0.01623095352941173,-0.013708477647058792,-0.011391446470588207,-0.0073251635294117046,-0.0031105999999999634,-0.0005997082352940386,0.0023575047058824183,0.005479349411764756,0.012214994117647149,0.022446954117647133,0.03292429411764708,0.04143524999999998,0.048450708235294127,0.053768845294117684,0.05850326000000006,0.06284180470588235,0.06614376000000005,0.06979937882352943,0.07226188117647059,0.0733042470588236,0.0737907752941176,0.07435861117647052,0.07406795764705876,0.07215123294117631,0.06596433294117643,0.05529771058823524,0.0421118358823529,0.02940388764705887,0.011978825294117701,-0.0003300476470587954,-0.012506668823529354,-0.024977561176470542,-0.037167378823529496,-0.04942939235294119,-0.06084929647058823,-0.0710022252941177,-0.0797696229411764,-0.08721478941176469,-0.09342782352941176,-0.09751135999999982,-0.10201880117647055,-0.10297691058823527,-0.10274107176470593,-0.10151636117647062,-0.0953818352941177,-0.08941038999999995,-0.08750901235294123,-0.0850617641176471,-0.08228221529411772,-0.07916495529411771,-0.0758328935294118,-0.07185927823529414,-0.06777365352941184,-0.06422840470588237,-0.061972404705882445,-0.06092159941176484,-0.058741586470588414,-0.05377746411764711,-0.045119044117647,-0.03725329823529416,-0.029428114117647064,-0.026587201764705914,-0.01926761058823534,-0.012938882352941217,-0.009168407058823436,-0.005929729411764784,-0.002327186470588327,0.00080108470588236,0.0018023911764706857,0.0025193135294117597,0.004009354705882318,0.005976143529411837,0.008295804117647188,0.007351742352941226,0.004307201176470543,-0.0018129682352940324,-0.007356717058823514,-0.013491592352941173,-0.020458286470588172,-0.026580483529411725,-0.030308629411764765,-0.030739855294117602,-0.03154948470588226,-0.03313732647058831,-0.03409309117647075,-0.03450354882352946,-0.034779580588235215,-0.035209198823529464,-0.036145387647058824,-0.03659467764705887,-0.03603658882352939,-0.03386358764705888,-0.031081047058823585,-0.02677155588235297,-0.020459334705882404,-0.013776193529411784,-0.007822825294117597,-0.00456581411764706,-0.0025619005882352996,-0.000629661176470564,0.0014552635294118321,0.0029998694117647773,0.004152561764705964,0.00530787647058828,0.0029005494117647634,0.004245567058823507,0.006344050588235284,0.008425487058823455,0.00996061294117645,0.010878359999999976,0.010052534117647005,0.008562017647058773,0.007784544117646952,0.007214171764705846,0.007324774705882331,0.008567277647058835,0.010474817647058876,0.012020152941176476,0.01377877705882341,0.015176724117647034,0.019935369999999897,0.02506134882352945,0.02542900705882356,0.02439964705882358,0.023459207058823595,0.022541527647058857,0.021975404117647146,0.02162586352941176,0.020976256470588317,0.019632817647058876,0.018285964117647047,0.016603511764705814,0.01400146470588226,0.011959610588235192,0.010179888823529382,0.009132557647058837,0.01935132470588241,0.024357034705882408,0.031234615294117585,0.03773767764705882,0.04289956294117647,0.04654392470588237,0.048802719999999966,0.048954755882352985,0.04605127176470586,0.045935904705882324,0.047287221176470606,0.04932944294117653,0.05181932647058829,0.05449227823529412,0.057013809411764704,0.058087580588235155,0.04921685470588233,0.03134597058823524,0.016843145294117734,0.005392374705882386,-0.00289236882352939,-0.00834554705882351,-0.010669252941176433,-0.009690657647058842,-0.003734995294117638,0.002700839999999982,0.004952419411764719,0.005644175294117648,0.005580017647058844,0.005250045294117767,0.00476471058823541,0.005268788235294253,0.002547475882352934,0.009918572941176484,0.017146698823529316,0.023141161176470526,0.027197230588235255,0.029809036470588135,0.03108317647058817,0.03101113823529411,0.02910202882352947,0.024412372352941192,0.02260215705882357,0.022423114705882374,0.02227195000000004,0.022192695882352897,0.022315717058823514,0.02250161117647065,0.025005030588235333,0.030929167058823592,0.03433095705882366,0.03562974235294125,0.03643808117647057,0.03730309000000004,0.03750841588235293,0.037135682352941235,0.03650230764705875,0.03545585882352942,0.03411749470588221,0.03223644941176462,0.030397022352941006,0.028595736470588107,0.026694307647058713,0.024766387058823336,0.022891092941176472,0.017641729411764673,0.01281936764705871,0.00972228823529403,0.007235179999999952,0.004092020588235323,0.0014111805882353612,-0.0002963211764706597,-0.0017185070588235374,-0.0026319817647059707,-0.003125389411764601,-0.003421366470588161,-0.0032999994117646203,-0.00321173352941162,-0.0029719276470587253,-0.0025599311764704646,-0.0022932299999999795,-0.0018941764705881492,-0.0008991647058821939,0.0006836094117649294,0.002493695882353042,0.005270531176470639,0.008802957647058907,0.011806748823529445,0.014481588235294163,0.016821258823529528,0.018662863529411766,0.020231280588235312,0.02152349705882356,0.022667504705882358,0.02385342470588231,0.024826938235294083,0.02387282529411755,0.02315964999999992,0.02272876764705878,0.021656175294117452,0.02040688823529413,0.019080705294117595,0.016691503529411733,0.014473161176470628,0.012364933529411759,0.01026440823529412,0.008524127647058788,0.006860155882353003,0.005320654117647039,0.003941815882352928,0.002486056470588305,0.0010566441176471097,0.0015565358823529385,0.003757877647058816,0.005305158823529277,0.006329685294117593,0.007434992352941094,0.00837234588235286,0.009059974705882268,0.009609027647058843,0.010044998823529494,0.010554202352941078,0.01099897352941176,0.011454099999999912,0.011865735294117608,0.012167069999999947,0.01237876176470587,0.012713764705882258,0.01778433588235301,0.02228835999999995,0.02557117176470597,0.0288166711764708,0.0314612888235295,0.033613362941176506,0.035484578235294106,0.03712452823529422,0.0387276017647058,0.0402189623529412,0.041712544705882426,0.04318672058823547,0.04458166529411778,0.04604352529411765,0.047221018235294066,0.04827121823529418,0.04459489294117647,0.03488165941176474,0.02536102764705872,0.01753819882352925,0.010920925882352939,0.005377543529411777,0.0011695052941176343,-0.0018404958823530215,-0.0038643841176471128,-0.005719664117647016,-0.007355117058823524,-0.008923438823529639,-0.010238092352941375,-0.0111032794117647,-0.01141983882352926,-0.011095632941176437,-0.0056363476470588925,0.004393648235293979,0.016918891764705846,0.028802423529411758,0.04021497647058825,0.05084041529411765,0.06069831764705891,0.06946840058823522,0.0772316594117648,0.08447932823529425,0.09155860235294133,0.09804695000000008,0.10438808176470593,0.1102258517647059,0.1155844482352939,0.12032422235294116,0.11992393411764701,0.11465300352941188,0.10810528647058837,0.09986811705882348,0.09097569117647053,0.08242465588235293,0.07410626647058827,0.06603746117647069,0.058161772941176415,0.05053842176470591,0.04286440999999985,0.03582774882352935,0.02929519352941179,0.02297920882352944,0.017397848235294222,0.012413540588235406,0.01713582705882366,0.026167991764705967,0.034041546470588324,0.0428844288235295,0.04795379235294117,0.05349671588235305,0.05915302529411759,0.06546500823529422,0.07160169000000027,0.07810362705882345,0.08539968352941185,0.09281592882352951,0.1004057276470588,0.10802902176470586,0.11530982705882342,0.12182768941176458,0.1183599088235292,0.10602969941176443,0.0954810911764703,0.08654513823529397,0.08224855058823521,0.08160998764705862,0.08015254058823518,0.07758466352941162,0.07469708764705862,-0.019949934627450983,-0.03216051874509804,-0.03990583462745098,-0.04619967727450977,-0.04816725727450977,-0.049769392215686256,-0.0493356325098039,-0.04777086074509801,-0.0466386925098039,-0.041146752225,-0.03735366778181817,-0.03468620602380951,-0.03273400538461535,-0.030750259571428545,-0.02915893543030304,-0.02851694827499998,-0.028261767594771225,-0.01605118347712417,-0.008305867594771227,-0.0020120249477124375,-4.4444947712440896e-05,0.0015576899934640481,0.0011239302875816898,-0.00044084147712419863,-0.0015730097124183051
pNuLoCRank	High
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
