UniprotID	Q9NVR5-2
Accession	Q9NVR5;B9WS54;C0JAP7;Q86TR1;Q86TY8;Q969Z5
EntryName	KTU_HUMAN
ProteinName	Protein kintoun (Dynein assembly factor 2, axonemal)
GeneName	DNAAF2 C14orf104 KTU
Length	789
Function	Required for cytoplasmic pre-assembly of axonemal dyneins, thereby playing a central role in motility in cilia and flagella. Involved in pre-assembly of dynein arm complexes in the cytoplasm before intraflagellar transport loads them for the ciliary compartment.
Subcellular Location	Cytoplasm; Dynein axonemal particle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5234729
pNuLoCRegion	37...51
