UniprotID	Q9HBG6-6
Accession	Q9HBG6;B3KW53;B4DEY9;B4DPW7;E7EQF4;E9PDG2;E9PDX2;G3XAB1;H7C3C0;Q53G36;Q8TC06;Q9BTB9;Q9BTY4;Q9HAT9;Q9HBG5;Q9NV68;Q9UF80
EntryName	IF122_HUMAN
ProteinName	Intraflagellar transport protein 122 homolog (WD repeat-containing protein 10) (WD repeat-containing protein 140)
GeneName	IFT122 SPG WDR10 WDR140
Length	1234
Function	As a component of the IFT complex A (IFT-A), a complex required for retrograde ciliary transport and entry into cilia of G protein-coupled receptors (GPCRs), it is required in ciliogenesis and ciliary protein trafficking (PubMed:27932497, PubMed:29220510). Involved in cilia formation during neuronal patterning. Acts as a negative regulator of Shh signaling. Required to recruit TULP3 to primary cilia (By similarity).
Subcellular Location	Cell projection; Cilium; Cytoplasm; Cytoskeleton; Cilium basal body
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.81887144
pNuLoCRegion	21...40;60...71;202...210
