UniprotID	Q9BZ71-3
Accession	Q9BZ71;A1A5D0;F8WEW5;Q59GH9;Q9NPQ4
EntryName	PITM3_HUMAN
ProteinName	Membrane-associated phosphatidylinositol transfer protein 3 (Phosphatidylinositol transfer protein, membrane-associated 3) (PITPnm 3) (Pyk2 N-terminal domain-interacting receptor 1) (NIR-1)
GeneName	PITPNM3 NIR1
Length	938
Function	Catalyzes the transfer of phosphatidylinositol and phosphatidylcholine between membranes (in vitro) (By similarity). Binds calcium ions.
Subcellular Location	Endomembrane system
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.549862
pNuLoCRegion	7...14;18...35
