UniprotID	Q9HC35-2
Accession	Q9HC35;A6H8Y6;A6P4T4;A6P4V4;B2RBK3;B2RTW7;B5MCW9;Q3SWW0;Q53R29;Q53TW8;Q6PJ45;Q9NV40
EntryName	EMAL4_HUMAN
ProteinName	Echinoderm microtubule-associated protein-like 4 (EMAP-4) (Restrictedly overexpressed proliferation-associated protein) (Ropp 120)
GeneName	EML4 C2orf2 EMAPL4
Length	923
Function	Essential for the formation and stability of microtubules (MTs) (PubMed:16890222, PubMed:31409757). Required for the organization of the mitotic spindle and for the proper attachment of kinetochores to MTs (PubMed:25789526). Promotes the recruitment of NUDC to the mitotic spindle for mitotic progression (PubMed:25789526).
Subcellular Location	Cytoplasm; Cytoskeleton; Cytoplasm; Cytoplasm; Cytoskeleton; Spindle; Cytoplasm; Cytoskeleton; Microtubule organizing center; Midbody
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.46412176
pNuLoCRegion	19...35;884...898
