UniprotID	Q7Z5H3-5
Accession	Q7Z5H3;A0AVP7;A5YM75;B4DED8;B9EGA0;C9JDM2;O00152;Q6ZSB0
EntryName	RHG22_HUMAN
ProteinName	Rho GTPase-activating protein 22 (Rho-type GTPase-activating protein 22)
GeneName	ARHGAP22 RHOGAP2
Length	704
Function	Rho GTPase-activating protein involved in the signal transduction pathway that regulates endothelial cell capillary tube formation during angiogenesis. Acts as a GTPase activator for the RAC1 by converting it to an inactive GDP-bound state. Inhibits RAC1-dependent lamellipodia formation. May also play a role in transcription regulation via its interaction with VEZF1, by regulating activity of the endothelin-1 (EDN1) promoter (By similarity).
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.2137953
pNuLoCRegion	134...139
