UniprotID	Q6ZWH5-2
Accession	Q6ZWH5;A8MWG1;B9ZVR0;Q45VJ4;Q6ZR11;Q7Z671;Q86XB1;Q96MB3
EntryName	NEK10_HUMAN
ProteinName	Serine/threonine-protein kinase Nek10 (EC 2.7.11.1) (Never in mitosis A-related kinase 10) (NimA-related protein kinase 10)
GeneName	NEK10
Length	725
Function	Plays a role in the cellular response to UV irradiation. Mediates G2/M cell cycle arrest, MEK autoactivation and ERK1/2-signaling pathway activation in response to UV irradiation. In ciliated cells of airways, it is involved in the regulation of mucociliary transport (PubMed:31959991).
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.29268438
pNuLoCRegion	21...33
