UniprotID	Q70EL4-3
Accession	Q70EL4;A6NDT9;B7ZLT9;B7ZVX5;Q8N2C5;Q96DQ6
EntryName	UBP43_HUMAN
ProteinName	Ubiquitin carboxyl-terminal hydrolase 43 (EC 3.4.19.12) (Deubiquitinating enzyme 43) (Ubiquitin thioesterase 43) (Ubiquitin-specific-processing protease 43)
GeneName	USP43
Length	812
Function	May recognize and hydrolyze the peptide bond at the C-terminal Gly of ubiquitin. Involved in the processing of poly-ubiquitin precursors as well as that of ubiquitinated proteins (By similarity).
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.90893483
pNuLoCRegion	4...33
