UniprotID	Q9HCS2
Accession	Q9HCS2;E7ET51;O60389;Q5JPJ7;Q9HCS1
EntryName	CP4FC_HUMAN
ProteinName	Cytochrome P450 4F12 (EC 1.14.14.1) (CYPIVF12)
GeneName	CYP4F12 UNQ568/PRO1129
Length	524
Function	A cytochrome P450 monooxygenase involved in the metabolism of endogenous polyunsaturated fatty acids (PUFAs). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase). Catalyzes the hydroxylation of carbon hydrogen bonds, with preference for omega-2 position. Metabolizes (5Z,8Z,11Z,14Z)-eicosatetraenoic acid (arachidonate) toward 18-hydroxy arachidonate (PubMed:11162607). Catalyzes the epoxidation of double bonds of PUFAs such as docosapentaenoic and docosahexaenoic acids (PubMed:16112640). Has low omega-hydroxylase activity toward leukotriene B4 and arachidonate (PubMed:11162645). Involved in the metabolism of xenobiotics. Catalyzes the hydroxylation of the antihistamine drug ebastine (PubMed:11162645).
Subcellular Location	Endoplasmic reticulum membrane; Microsome membrane
Disorder	0.0044,0.0060,0.0091,0.0081,0.0088,0.0119,0.0151,0.0231,0.0153,0.0119,0.0096,0.0085,0.0064,0.0065,0.0072,0.0059,0.0083,0.0074,0.0075,0.0076,0.0055,0.0067,0.0067,0.0046,0.0043,0.0043,0.0031,0.0032,0.0021,0.0026,0.0024,0.0023,0.0032,0.0044,0.0046,0.0057,0.0070,0.0051,0.0054,0.0061,0.0057,0.0085,0.0099,0.0109,0.0209,0.0398,0.0483,0.1070,0.0494,0.0473,0.0287,0.0646,0.1206,0.0605,0.0568,0.0473,0.0253,0.0269,0.0592,0.0581,0.0985,0.2064,0.1881,0.1028,0.0909,0.0835,0.0780,0.0817,0.0817,0.1184,0.2129,0.2918,0.2951,0.1942,0.2849,0.2951,0.3983,0.3774,0.3774,0.2817,0.1671,0.0870,0.0817,0.0929,0.0948,0.0494,0.0543,0.0258,0.0146,0.0100,0.0085,0.0069,0.0074,0.0080,0.0130,0.0138,0.0088,0.0087,0.0141,0.0090,0.0123,0.0235,0.0356,0.0327,0.0231,0.0349,0.0356,0.0248,0.0662,0.1206,0.1823,0.2918,0.2645,0.1643,0.0851,0.0817,0.0380,0.0389,0.0389,0.0483,0.0454,0.0244,0.0231,0.0313,0.0341,0.0248,0.0181,0.0184,0.0214,0.0188,0.0188,0.0191,0.0181,0.0168,0.0320,0.0581,0.0543,0.1137,0.1881,0.1501,0.0749,0.1476,0.2575,0.2258,0.1162,0.1092,0.0888,0.1583,0.1583,0.0985,0.0967,0.0929,0.0463,0.0258,0.0531,0.0306,0.0157,0.0174,0.0174,0.0168,0.0178,0.0334,0.0191,0.0134,0.0100,0.0181,0.0191,0.0188,0.0191,0.0306,0.0306,0.0248,0.0248,0.0531,0.0948,0.0888,0.1449,0.2541,0.1528,0.1554,0.1298,0.0765,0.0780,0.1323,0.1007,0.1643,0.0967,0.0749,0.1554,0.0851,0.0888,0.1476,0.1048,0.1184,0.1092,0.0690,0.0398,0.0202,0.0198,0.0174,0.0171,0.0205,0.0424,0.0244,0.0275,0.0531,0.0543,0.1184,0.1399,0.1501,0.1476,0.0888,0.0765,0.1349,0.0734,0.0414,0.0734,0.0734,0.1449,0.1275,0.1528,0.1070,0.1206,0.1206,0.1759,0.1583,0.1611,0.1611,0.0851,0.0506,0.0518,0.0909,0.1229,0.1449,0.0704,0.0704,0.0676,0.0341,0.0349,0.0341,0.0405,0.0719,0.1092,0.0967,0.0967,0.0473,0.0473,0.0414,0.0356,0.0349,0.0592,0.0313,0.0223,0.0269,0.0275,0.0287,0.0506,0.0929,0.1399,0.1611,0.1070,0.1048,0.1137,0.1070,0.1028,0.1007,0.1881,0.1251,0.1528,0.1791,0.2715,0.2783,0.2849,0.3529,0.3599,0.2436,0.2470,0.2364,0.2399,0.2575,0.2918,0.3667,0.3704,0.3494,0.3599,0.2884,0.3019,0.1914,0.1942,0.1671,0.1184,0.0676,0.0398,0.0398,0.0380,0.0356,0.0749,0.1554,0.1643,0.1643,0.1643,0.1671,0.1115,0.1115,0.1206,0.1275,0.1969,0.1251,0.2129,0.2680,0.2752,0.3087,0.3948,0.4801,0.4441,0.4186,0.3149,0.3117,0.3019,0.2918,0.2951,0.3019,0.3286,0.3840,0.3840,0.3807,0.2849,0.2783,0.2575,0.2034,0.1583,0.0909,0.1137,0.0676,0.0568,0.1070,0.1184,0.2399,0.2503,0.1702,0.1852,0.1942,0.1852,0.1137,0.1251,0.1373,0.1449,0.1643,0.1791,0.2951,0.2783,0.2783,0.3566,0.3566,0.4292,0.4685,0.5098,0.5098,0.4940,0.3983,0.5017,0.3872,0.3840,0.3983,0.4119,0.3948,0.3948,0.3019,0.3910,0.2715,0.1791,0.2609,0.3053,0.2224,0.1554,0.1554,0.1643,0.1373,0.0888,0.0780,0.0749,0.0662,0.1373,0.1528,0.1251,0.2129,0.1399,0.0780,0.1229,0.1007,0.1115,0.1092,0.1115,0.1449,0.2328,0.2193,0.1671,0.0985,0.1162,0.1914,0.1969,0.2752,0.2164,0.1251,0.1229,0.1424,0.1229,0.1424,0.2224,0.1449,0.0948,0.0948,0.1611,0.0967,0.0506,0.0483,0.0531,0.0749,0.1184,0.1070,0.1184,0.1206,0.0835,0.0631,0.1229,0.1115,0.1298,0.1373,0.1501,0.0817,0.1476,0.2436,0.2193,0.2034,0.1852,0.2817,0.3019,0.3807,0.3983,0.4051,0.3910,0.3704,0.3566,0.4220,0.5707,0.4441,0.4051,0.2715,0.1731,0.2609,0.2436,0.2292,0.1791,0.2918,0.3182,0.4256,0.4220,0.3087,0.2034,0.1969,0.2094,0.1852,0.0967,0.0835,0.0676,0.0473,0.0888,0.0817,0.1554,0.1702,0.1028,0.1229,0.1048,0.0719,0.0568,0.0281,0.0178,0.0163,0.0143,0.0235,0.0127,0.0085,0.0102,0.0191,0.0218,0.0281,0.0380,0.0405,0.0506,0.0494,0.0765,0.0676,0.1251,0.0870,0.0851,0.0817,0.1323,0.1759,0.1942,0.3087,0.3149,0.3392,0.3182,0.2094,0.1969,0.1399,0.1449,0.1528,0.0799,0.0870,0.0555,0.0568,0.0568,0.0581,0.0817,0.1206,0.1275,0.1048,0.1048,0.0690,0.0473,0.0306,0.0518,0.1184
ExposeBuried	1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1
SurfaceAccessbility	0.774,0.542,0.490,0.274,0.529,0.173,0.441,0.265,0.200,0.308,0.117,0.317,0.213,0.149,0.122,0.122,0.156,0.148,0.133,0.088,0.138,0.107,0.107,0.131,0.111,0.118,0.121,0.145,0.096,0.114,0.100,0.074,0.159,0.083,0.130,0.143,0.089,0.169,0.188,0.249,0.167,0.302,0.535,0.389,0.178,0.305,0.397,0.257,0.594,0.635,0.146,0.152,0.568,0.317,0.219,0.398,0.583,0.280,0.158,0.091,0.080,0.067,0.146,0.099,0.211,0.213,0.094,0.320,0.335,0.575,0.459,0.553,0.172,0.127,0.475,0.194,0.088,0.364,0.548,0.100,0.240,0.685,0.503,0.125,0.289,0.468,0.080,0.043,0.176,0.072,0.199,0.084,0.158,0.444,0.348,0.280,0.129,0.031,0.032,0.055,0.027,0.137,0.243,0.196,0.551,0.102,0.026,0.261,0.397,0.040,0.077,0.382,0.591,0.538,0.513,0.514,0.441,0.133,0.598,0.630,0.565,0.466,0.360,0.119,0.219,0.194,0.076,0.200,0.354,0.254,0.169,0.340,0.414,0.334,0.087,0.076,0.098,0.196,0.346,0.533,0.322,0.769,0.507,0.061,0.404,0.560,0.214,0.102,0.510,0.153,0.067,0.294,0.482,0.156,0.141,0.346,0.406,0.557,0.216,0.129,0.444,0.531,0.127,0.139,0.535,0.249,0.031,0.261,0.516,0.138,0.028,0.470,0.382,0.049,0.066,0.547,0.343,0.044,0.425,0.618,0.215,0.306,0.745,0.598,0.590,0.589,0.513,0.332,0.124,0.299,0.037,0.207,0.304,0.130,0.032,0.149,0.239,0.085,0.071,0.074,0.229,0.062,0.059,0.090,0.185,0.034,0.059,0.076,0.121,0.216,0.458,0.357,0.546,0.100,0.572,0.469,0.489,0.335,0.680,0.540,0.107,0.210,0.542,0.131,0.055,0.435,0.442,0.070,0.261,0.547,0.195,0.050,0.417,0.498,0.166,0.150,0.454,0.337,0.095,0.167,0.377,0.212,0.262,0.501,0.127,0.130,0.358,0.278,0.116,0.169,0.455,0.519,0.310,0.406,0.472,0.128,0.284,0.481,0.128,0.173,0.534,0.223,0.047,0.306,0.550,0.120,0.056,0.455,0.482,0.082,0.060,0.533,0.538,0.127,0.357,0.622,0.412,0.146,0.570,0.531,0.573,0.373,0.322,0.514,0.589,0.272,0.348,0.603,0.598,0.420,0.374,0.562,0.679,0.441,0.152,0.294,0.329,0.062,0.036,0.333,0.196,0.059,0.117,0.403,0.290,0.315,0.535,0.592,0.652,0.695,0.548,0.620,0.089,0.375,0.480,0.615,0.393,0.043,0.281,0.412,0.184,0.049,0.143,0.186,0.028,0.064,0.100,0.041,0.060,0.113,0.186,0.049,0.035,0.061,0.104,0.042,0.061,0.123,0.058,0.055,0.061,0.061,0.083,0.038,0.086,0.372,0.208,0.292,0.622,0.059,0.157,0.574,0.327,0.019,0.326,0.554,0.081,0.023,0.499,0.559,0.079,0.093,0.402,0.719,0.647,0.458,0.496,0.328,0.625,0.218,0.586,0.298,0.679,0.281,0.227,0.543,0.640,0.061,0.424,0.115,0.057,0.399,0.087,0.023,0.037,0.210,0.038,0.049,0.108,0.194,0.111,0.250,0.327,0.187,0.129,0.194,0.301,0.177,0.278,0.251,0.374,0.124,0.518,0.521,0.532,0.173,0.514,0.112,0.460,0.589,0.402,0.130,0.356,0.032,0.270,0.495,0.470,0.105,0.161,0.020,0.037,0.034,0.042,0.054,0.137,0.088,0.084,0.160,0.317,0.247,0.456,0.727,0.402,0.073,0.578,0.539,0.161,0.657,0.569,0.048,0.401,0.159,0.589,0.234,0.084,0.162,0.543,0.767,0.654,0.389,0.657,0.471,0.481,0.451,0.361,0.173,0.107,0.098,0.053,0.038,0.072,0.135,0.245,0.099,0.409,0.315,0.340,0.023,0.166,0.111,0.322,0.296,0.069,0.024,0.193,0.094,0.076,0.046,0.145,0.085,0.052,0.038,0.061,0.159,0.051,0.044,0.313,0.383,0.057,0.498,0.071,0.514,0.188,0.557,0.728,0.437,0.598,0.270,0.548,0.345,0.538,0.168,0.522,0.192,0.305,0.103,0.370,0.200,0.650,0.459,0.271,0.063,0.200,0.033,0.292,0.059,0.444,0.443,0.311,0.675,0.293,0.636,0.380,0.830
