UniprotID	Q8TF46-3
Accession	Q8TF46;Q8N1N8;Q8WTU9;Q96CM7
EntryName	DI3L1_HUMAN
ProteinName	DIS3-like exonuclease 1 (EC 3.1.13.1)
GeneName	DIS3L DIS3L1 KIAA1955
Length	750
Function	Catalytic component of the RNA exosome complex which has 3'->5' exoribonuclease activity and participates in a multitude of cellular RNA processing and degradation events (PubMed:20531386, PubMed:20531389, PubMed:37602378). In the cytoplasm, the RNA exosome complex is involved in general mRNA turnover and specifically degrades inherently unstable mRNAs containing AU-rich elements (AREs) within their 3' untranslated regions, and in RNA surveillance pathways, preventing translation of aberrant mRNAs. It seems to be involved in degradation of histone mRNA (PubMed:20531386, PubMed:20531389).
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.29952097
pNuLoCRegion	
