UniprotID	Q9NZ08-2
Accession	Q9NZ08;O60278;Q6UWY6;Q8NEL4;Q8TAD0;Q9UHF8;Q9UKY2
EntryName	ERAP1_HUMAN
ProteinName	Endoplasmic reticulum aminopeptidase 1 (EC 3.4.11.-) (ARTS-1) (Adipocyte-derived leucine aminopeptidase) (A-LAP) (Aminopeptidase PILS) (Puromycin-insensitive leucyl-specific aminopeptidase) (PILS-AP) (Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator)
GeneName	ERAP1 APPILS ARTS1 KIAA0525 UNQ584/PRO1154
Length	948
Function	Aminopeptidase that plays a central role in peptide trimming, a step required for the generation of most HLA class I-binding peptides. Peptide trimming is essential to customize longer precursor peptides to fit them to the correct length required for presentation on MHC class I molecules. Strongly prefers substrates 9-16 residues long. Rapidly degrades 13-mer to a 9-mer and then stops. Preferentially hydrolyzes the residue Leu and peptides with a hydrophobic C-terminus, while it has weak activity toward peptides with charged C-terminus. May play a role in the inactivation of peptide hormones. May be involved in the regulation of blood pressure through the inactivation of angiotensin II and/or the generation of bradykinin in the kidney.
Subcellular Location	Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.010277247
pNuLoCRegion	
